Time (s),Channel 1 (V),Channel 2 (V)
-0.011760138,0.999522439,0.003005707
-0.011753888,0.998860163,0.003005707
-0.011747638,0.999522439,0.002337948
-0.011741388,0.999522439,0.002337948
-0.011735138,0.999191301,0.002337948
-0.011728888,0.999522439,0.002337948
-0.011722638,0.999522439,0.002337948
-0.011716388,1.000184715,0.002337948
-0.011710138,0.999522439,0.002337948
-0.011703888,0.999191301,0.002004069
-0.011697638,0.999853577,0.002004069
-0.011691388,0.999522439,0.002004069
-0.011685138,0.999853577,0.00133631
-0.011678888,0.999853577,0.001670189
-0.011672638,0.999853577,0.00133631
-0.011666388,0.999522439,0.00133631
-0.011660138,0.999522439,0.00133631
-0.011653888,0.999522439,0.001670189
-0.011647638,0.999522439,0.00100243
-0.011641388,0.999522439,0.00133631
-0.011635138,0.999522439,0.001670189
-0.011628888,0.999522439,0.00133631
-0.011622638,0.999853577,0.00133631
-0.011616388,0.999191301,0.00133631
-0.011610138,0.999522439,0.001670189
-0.011603888,0.999522439,0.001670189
-0.011597638,0.999522439,0.00133631
-0.011591388,0.999522439,0.001670189
-0.011585138,0.999522439,0.001670189
-0.011578888,0.999522439,0.002004069
-0.011572638,0.999191301,0.001670189
-0.011566388,0.999191301,0.001670189
-0.011560138,0.999853577,0.002004069
-0.011553888,0.999853577,0.002004069
-0.011547638,0.999853577,0.002004069
-0.011541388,0.999522439,0.002004069
-0.011535138,0.999853577,0.002004069
-0.011528888,0.999853577,0.002337948
-0.011522638,0.999522439,0.002004069
-0.011516388,0.999522439,0.002004069
-0.011510138,0.999522439,0.002337948
-0.011503888,0.999522439,0.002671827
-0.011497638,0.999522439,0.002337948
-0.011491388,0.999853577,0.002337948
-0.011485138,0.999853577,0.003005707
-0.011478888,0.999853577,0.003005707
-0.011472638,0.999853577,0.002671827
-0.011466388,0.999853577,0.003005707
-0.011460138,1.000184715,0.003005707
-0.011453888,0.999522439,0.003005707
-0.011447638,0.999522439,0.003005707
-0.011441388,1.000184715,0.003005707
-0.011435138,0.999853577,0.003339586
-0.011428888,0.999853577,0.003339586
-0.011422638,0.999853577,0.003005707
-0.011416388,1.000184715,0.003339586
-0.011410138,0.999853577,0.003339586
-0.011403888,0.999853577,0.003005707
-0.011397638,0.999853577,0.003339586
-0.011391388,0.999522439,0.003339586
-0.011385138,0.999522439,0.003005707
-0.011378888,0.999191301,0.003339586
-0.011372638,0.999853577,0.003005707
-0.011366388,0.999522439,0.003339586
