Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
10592.53725,-0.470819693,0.126777122
10665.96121,-0.462320539,-2.302841303
10739.89412,-0.449570926,-4.772733355
10814.33951,-0.435234859,-7.290675055
10889.30093,-0.418985022,-9.849137182
10964.78196,-0.400530124,-12.47156025
11040.7862,-0.378464149,-15.14275325
11117.31727,-0.355994026,-17.89078013
11194.37883,-0.32979274,-20.71424097
11271.97456,-0.302945665,-23.59153562
11350.10816,-0.273056146,-26.57224904
11428.78335,-0.241414684,-29.62746955
11508.00389,-0.209342502,-32.79764651
11587.77356,-0.179090264,-36.08537537
11668.09617,-0.148576925,-39.48757405
11748.97555,-0.121066307,-43.01200308
11830.41556,-0.099127703,-46.67122132
11912.42008,-0.084792243,-50.48616661
11994.99303,-0.080196694,-54.42236327
12078.13835,-0.088738446,-58.5270779
12161.86001,-0.111919456,-62.75009483
12246.16199,-0.154966258,-67.13207447
12331.04833,-0.220747307,-71.6188552
12416.52308,-0.315531447,-76.23755178
12502.5903,-0.439109915,-80.91851177
12589.25412,-0.59070698,-85.65530171
12676.51866,-0.779653728,-90.41234474
12764.38809,-0.999841243,-95.1695719
12852.8666,-1.256969151,-99.90750881
12941.95841,-1.547356808,-104.5691206
13031.66778,-1.868224635,-109.1611403
13121.99899,-2.216572423,-113.6449702
13212.95634,-2.590123903,-117.9725607
