f,mag,pha
1.35207256319430e+002,-5.82299863377651e-001,-8.68257543594952e-001
1.35363009067148e+002,-5.82299843129436e-001,-8.69258094355634e-001
1.35518941235106e+002,-5.82299822834453e-001,-8.70259798940676e-001
1.35675053029988e+002,-5.82299802492647e-001,-8.71262658683502e-001
1.35831344658718e+002,-5.82299782103875e-001,-8.72266674919074e-001
1.35987816328454e+002,-5.82299761668007e-001,-8.73271848983933e-001
1.36144468246597e+002,-5.82299741185000e-001,-8.74278182216209e-001
1.36301300620785e+002,-5.82299720654707e-001,-8.75285675955473e-001
1.36458313658895e+002,-5.82299700076978e-001,-8.76294331542958e-001
1.36615507569043e+002,-5.82299679451736e-001,-8.77304150321399e-001
1.36772882559587e+002,-5.82299658778881e-001,-8.78315133635125e-001
1.36930438839123e+002,-5.82299638058312e-001,-8.79327282830077e-001
1.37088176616488e+002,-5.82299617289874e-001,-8.80340599253637e-001
1.37246096100758e+002,-5.82299596473470e-001,-8.81355084254844e-001
1.37404197501254e+002,-5.82299575609079e-001,-8.82370739184312e-001
1.37562481027533e+002,-5.82299554696450e-001,-8.83387565394162e-001
1.37720946889397e+002,-5.82299533735558e-001,-8.84405564238127e-001
1.37879595296888e+002,-5.82299512726253e-001,-8.85424737071539e-001
1.38038426460291e+002,-5.82299491668466e-001,-8.86445085251277e-001
1.38197440590132e+002,-5.82299470562048e-001,-8.87466610135816e-001
1.38356637897180e+002,-5.82299449406872e-001,-8.88489313085124e-001
1.38516018592449e+002,-5.82299428202883e-001,-8.89513195460929e-001
1.38675582887191e+002,-5.82299406949928e-001,-8.90538258626370e-001
1.38835330992907e+002,-5.82299385647890e-001,-8.91564503946256e-001
1.38995263121338e+002,-5.82299364296659e-001,-8.92591932786995e-001
1.39155379484470e+002,-5.82299342896162e-001,-8.93620546516554e-001
1.39315680294533e+002,-5.82299321446227e-001,-8.94650346504482e-001
1.39476165764002e+002,-5.82299299946763e-001,-8.95681334121934e-001
1.39636836105596e+002,-5.82299278397672e-001,-8.96713510741706e-001
1.39797691532280e+002,-5.82299256798809e-001,-8.97746877738104e-001
1.39958732257264e+002,-5.82299235150103e-001,-8.98781436487098e-001
1.40119958494003e+002,-5.82299213451388e-001,-8.99817188366217e-001
1.40281370456198e+002,-5.82299191702550e-001,-9.00854134754657e-001
1.40442968357797e+002,-5.82299169903506e-001,-9.01892277033173e-001
1.40604752412994e+002,-5.82299148054132e-001,-9.02931616584111e-001
1.40766722836229e+002,-5.82299126154329e-001,-9.03972154791448e-001
1.40928879842190e+002,-5.82299104203907e-001,-9.05013893040800e-001
1.41091223645812e+002,-5.82299082202861e-001,-9.06056832719327e-001
1.41253754462278e+002,-5.82299060150974e-001,-9.07100975215872e-001
1.41416472507018e+002,-5.82299038048176e-001,-9.08146321920875e-001
1.41579377995711e+002,-5.82299015894342e-001,-9.09192874226370e-001
1.41742471144283e+002,-5.82298993689335e-001,-9.10240633526018e-001
1.41905752168912e+002,-5.82298971433059e-001,-9.11289601215114e-001
1.42069221286021e+002,-5.82298949125423e-001,-9.12339778690613e-001
1.42232878712285e+002,-5.82298926766249e-001,-9.13391167351005e-001
1.42396724664627e+002,-5.82298904355434e-001,-9.14443768596475e-001
1.42560759360221e+002,-5.82298881892890e-001,-9.15497583828876e-001
1.42724983016492e+002,-5.82298859378476e-001,-9.16552614451576e-001
1.42889395851113e+002,-5.82298836812052e-001,-9.17608861869680e-001
1.43053998082009e+002,-5.82298814193555e-001,-9.18666327489832e-001
1.43218789927357e+002,-5.82298791522814e-001,-9.19725012720470e-001
1.43383771605584e+002,-5.82298768799715e-001,-9.20784918971502e-001
1.43548943335368e+002,-5.82298746024138e-001,-9.21846047654567e-001
1.43714305335642e+002,-5.82298723195967e-001,-9.22908400182987e-001
1.43879857825587e+002,-5.82298700315094e-001,-9.23971977971544e-001
1.44045601024640e+002,-5.82298677381363e-001,-9.25036782436881e-001
1.44211535152490e+002,-5.82298654394680e-001,-9.26102814997241e-001
1.44377660429076e+002,-5.82298631354926e-001,-9.27170077072432e-001
1.44543977074595e+002,-5.82298608261955e-001,-9.28238570083982e-001
1.44710485309496e+002,-5.82298585115684e-001,-9.29308295455050e-001
1.44877185354479e+002,-5.82298561915954e-001,-9.30379254610454e-001
1.45044077430502e+002,-5.82298538662615e-001,-9.31451448976728e-001
1.45211161758777e+002,-5.82298515355612e-001,-9.32524879982002e-001
1.45378438560769e+002,-5.82298491994748e-001,-9.33599549056014e-001
1.45545908058199e+002,-5.82298468579963e-001,-9.34675457630296e-001
1.45713570473045e+002,-5.82298445111115e-001,-9.35752607138056e-001
1.45881426027538e+002,-5.82298421588058e-001,-9.36830999013987e-001
1.46049474944166e+002,-5.82298398010660e-001,-9.37910634694662e-001
1.46217717445675e+002,-5.82298374378845e-001,-9.38991515618186e-001
1.46386153755065e+002,-5.82298350692447e-001,-9.40073643224394e-001
1.46554784095594e+002,-5.82298326951342e-001,-9.41157018954830e-001
1.46723608690778e+002,-5.82298303155406e-001,-9.42241644252681e-001
1.46892627764390e+002,-5.82298279304512e-001,-9.43327520562738e-001
1.47061841540459e+002,-5.82298255398539e-001,-9.44414649331659e-001
1.47231250243275e+002,-5.82298231437396e-001,-9.45503032007644e-001
1.47400854097384e+002,-5.82298207420869e-001,-9.46592670040584e-001
1.47570653327592e+002,-5.82298183348907e-001,-9.47683564882118e-001
1.47740648158964e+002,-5.82298159221318e-001,-9.48775717985548e-001
1.47910838816824e+002,-5.82298135038045e-001,-9.49869130805887e-001
1.48081225526754e+002,-5.82298110798892e-001,-9.50963804799816e-001
