f,mag,pha
1.89670592121112e+003,-6.41845340759984e-002,1.77375915385832e+002
1.90107827992327e+003,-6.40275214241723e-002,1.77369302016089e+002
1.90546071796322e+003,-6.38697334880464e-002,1.77362669237328e+002
1.90985325856621e+003,-6.37111662006205e-002,1.77356016972856e+002
1.91425592502106e+003,-6.35518154712809e-002,1.77349345145536e+002
1.91866874067026e+003,-6.33916771856965e-002,1.77342653677797e+002
1.92309172891013e+003,-6.32307472055985e-002,1.77335942491620e+002
1.92752491319091e+003,-6.30690213686930e-002,1.77329211508541e+002
1.93196831701689e+003,-6.29064954884272e-002,1.77322460649645e+002
1.93642196394658e+003,-6.27431653538751e-002,1.77315689835563e+002
1.94088587759275e+003,-6.25790267295505e-002,1.77308898986469e+002
1.94536008162263e+003,-6.24140753552666e-002,1.77302088022077e+002
1.94984459975802e+003,-6.22483069459225e-002,1.77295256861635e+002
1.95433945577536e+003,-6.20817171914014e-002,1.77288405423925e+002
1.95884467350596e+003,-6.19143017563203e-002,1.77281533627254e+002
1.96336027683602e+003,-6.17460562799454e-002,1.77274641389458e+002
1.96788628970681e+003,-6.15769763759511e-002,1.77267728627893e+002
1.97242273611482e+003,-6.14070576322984e-002,1.77260795259430e+002
1.97696964011183e+003,-6.12362956110311e-002,1.77253841200457e+002
1.98152702580507e+003,-6.10646858480652e-002,1.77246866366871e+002
1.98609491735734e+003,-6.08922238531053e-002,1.77239870674075e+002
1.99067333898715e+003,-6.07189051093916e-002,1.77232854036974e+002
1.99526231496885e+003,-6.05447250735242e-002,1.77225816369971e+002
1.99986186963271e+003,-6.03696791753134e-002,1.77218757586967e+002
2.00447202736513e+003,-6.01937628175708e-002,1.77211677601349e+002
2.00909281260870e+003,-6.00169713759358e-002,1.77204576325994e+002
2.01372424986236e+003,-5.98393001986892e-002,1.77197453673261e+002
2.01836636368153e+003,-5.96607446065648e-002,1.77190309554986e+002
2.02301917867824e+003,-5.94812998925515e-002,1.77183143882482e+002
2.02768271952125e+003,-5.93009613217071e-002,1.77175956566530e+002
2.03235701093619e+003,-5.91197241309784e-002,1.77168747517379e+002
