Freq.	V(vout)/V(vin)
2.13304491314654e+002	(7.63597572629434e+001dB,9.21425374314753e+001°)
2.13796208950220e+002	(7.63398243160797e+001dB,9.21289587741317e+001°)
2.14289060112002e+002	(7.63198907739788e+001dB,9.21153911642223e+001°)
2.14783047413050e+002	(7.62999566380216e+001dB,9.21018345319855e+001°)
2.15278173472434e+002	(7.62800219095767e+001dB,9.20882888077067e+001°)
2.15774440915263e+002	(7.62600865900004e+001dB,9.20747539217183e+001°)
2.16271852372698e+002	(7.62401506806366e+001dB,9.20612298043990e+001°)
2.16770410481966e+002	(7.62202141828174e+001dB,9.20477163861739e+001°)
2.17270117886371e+002	(7.62002770978622e+001dB,9.20342135975139e+001°)
2.17770977235312e+002	(7.61803394270786e+001dB,9.20207213689358e+001°)
2.18272991184296e+002	(7.61604011717619e+001dB,9.20072396310016e+001°)
2.18776162394951e+002	(7.61404623331953e+001dB,9.19937683143187e+001°)
2.19280493535041e+002	(7.61205229126499e+001dB,9.19803073495393e+001°)
2.19785987278479e+002	(7.61005829113849e+001dB,9.19668566673601e+001°)
2.20292646305342e+002	(7.60806423306472e+001dB,9.19534161985224e+001°)
2.20800473301886e+002	(7.60607011716717e+001dB,9.19399858738113e+001°)
2.21309470960560e+002	(7.60407594356816e+001dB,9.19265656240558e+001°)
2.21819641980018e+002	(7.60208171238878e+001dB,9.19131553801286e+001°)
2.22330989065136e+002	(7.60008742374894e+001dB,9.18997550729454e+001°)
2.22843514927026e+002	(7.59809307776735e+001dB,9.18863646334652e+001°)
2.23357222283049e+002	(7.59609867456155e+001dB,9.18729839926894e+001°)
2.23872113856830e+002	(7.59410421424787e+001dB,9.18596130816619e+001°)
2.24388192378273e+002	(7.59210969694147e+001dB,9.18462518314691e+001°)
2.24905460583574e+002	(7.59011512275630e+001dB,9.18329001732389e+001°)
2.25423921215239e+002	(7.58812049180517e+001dB,9.18195580381410e+001°)
2.25943577022094e+002	(7.58612580419968e+001dB,9.18062253573864e+001°)
2.26464430759302e+002	(7.58413106005027e+001dB,9.17929020622272e+001°)
2.26986485188378e+002	(7.58213625946618e+001dB,9.17795880839564e+001°)
2.27509743077203e+002	(7.58014140255552e+001dB,9.17662833539074e+001°)
2.28034207200038e+002	(7.57814648942519e+001dB,9.17529878034540e+001°)
2.28559880337539e+002	(7.57615152018095e+001dB,9.17397013640097e+001°)
2.29086765276773e+002	(7.57415649492737e+001dB,9.17264239670280e+001°)
2.29614864811232e+002	(7.57216141376787e+001dB,9.17131555440018e+001°)
2.30144181740846e+002	(7.57016627680471e+001dB,9.16998960264630e+001°)
2.30674718872003e+002	(7.56817108413898e+001dB,9.16866453459824e+001°)
2.31206479017555e+002	(7.56617583587063e+001dB,9.16734034341696e+001°)
